Year,Period,labor_force,employment,unemployment,unemployment_rate
2010,Jan,250869,229189,21680,8.6
2010,Feb,251721,229827,21894,8.7
2010,Mar,253437,232234,21203,8.4
2010,Apr,257455,237574,19881,7.7
2010,May,255527,235407,20120,7.9
2010,Jun,258374,237837,20537,7.9
2010,Jul,256014,235126,20888,8.2
2010,Aug,256855,236752,20103,7.8
2010,Sep,257935,238536,19399,7.5
2010,Oct,256803,237848,18955,7.4
2010,Nov,257137,237376,19761,7.7
2010,Dec,256318,237419,18899,7.4
2011,Jan,252730,231688,21042,8.3
2011,Feb,253606,232737,20869,8.2
2011,Mar,255921,236205,19716,7.7
2011,Apr,256826,238559,18267,7.1
2011,May,256882,237944,18938,7.4
2011,Jun,259789,239999,19790,7.6
2011,Jul,258110,237978,20132,7.8
2011,Aug,257901,239644,18257,7.1
2011,Sep,259377,240940,18437,7.1
2011,Oct,257918,240598,17320,6.7
2011,Nov,258196,241627,16569,6.4
2011,Dec,257078,240958,16120,6.3
2012,Jan,253674,236115,17559,6.9
2012,Feb,254576,237197,17379,6.8
2012,Mar,256815,240313,16502,6.4
2012,Apr,257095,242588,14507,5.6
2012,May,258495,242928,15567,6.0
2012,Jun,262644,245781,16863,6.4
2012,Jul,258394,241614,16780,6.5
2012,Aug,255995,239862,16133,6.3
2012,Sep,258864,243882,14982,5.8
2012,Oct,261310,246346,14964,5.7
2012,Nov,260909,246255,14654,5.6
2012,Dec,260554,245349,15205,5.8
2013,Jan,258153,241063,17090,6.6
2013,Feb,258145,241192,16953,6.6
2013,Mar,259722,243295,16427,6.3
2013,Apr,260700,245759,14941,5.7
2013,May,261619,245935,15684,6.0
2013,Jun,264350,246706,17644,6.7
2013,Jul,260723,244487,16236,6.2
2013,Aug,260393,244977,15416,5.9
2013,Sep,260444,245255,15189,5.8
2013,Oct,260705,245553,15152,5.8
2013,Nov,265401,251012,14389,5.4
2013,Dec,262899,249187,13712,5.2
2014,Jan,259233,243946,15287,5.9
2014,Feb,257812,241634,16178,6.3
2014,Mar,261003,245328,15675,6.0
2014,Apr,260308,247476,12832,4.9
2014,May,260719,247106,13613,5.2
2014,Jun,262559,248542,14017,5.3
2014,Jul,258901,245408,13493,5.2
2014,Aug,256129,244394,11735,4.6
2014,Sep,255816,244782,11034,4.3
2014,Oct,258610,248170,10440,4.0
2014,Nov,261167,251087,10080,3.9
2014,Dec,259635,250251,9384,3.6
2015,Jan,260029,248505,11524,4.4
2015,Feb,259188,247647,11541,4.5
2015,Mar,261359,250050,11309,4.3
2015,Apr,261093,251188,9905,3.8
2015,May,261176,250458,10718,4.1
2015,Jun,264021,252399,11622,4.4
2015,Jul,260157,248940,11217,4.3
2015,Aug,257940,248715,9225,3.6
2015,Sep,258796,249444,9352,3.6
2015,Oct,260687,251419,9268,3.6
2015,Nov,265927,256402,9525,3.6
2015,Dec,264938,255353,9585,3.6
2016,Jan,262007,251092,10915,4.2
2016,Feb,262601,251470,11131,4.2
2016,Mar,264011,253231,10780,4.1
2016,Apr,266138,256812,9326,3.5
2016,May,266038,256208,9830,3.7
2016,Jun,268505,257401,11104,4.1
2016,Jul,266324,255679,10645,4.0
2016,Aug,265913,256719,9194,3.5
2016,Sep,266958,257489,9469,3.5
2016,Oct,269448,259985,9463,3.5
2016,Nov,271973,263032,8941,3.3
2016,Dec,270258,260919,9339,3.5
2017,Jan,271467,260063,11404,4.2
2017,Feb,271270,259666,11604,4.3
2017,Mar,272852,261586,11266,4.1
2017,Apr,274049,263969,10080,3.7
2017,May,273497,262978,10519,3.8
2017,Jun,275932,263827,12105,4.4
2017,Jul,273320,261800,11520,4.2
2017,Aug,270133,260168,9965,3.7
2017,Sep,271322,262310,9012,3.3
2017,Oct,271478,262902,8576,3.2
2017,Nov,273717,265433,8284,3.0
2017,Dec,271898,263724,8174,3.0
2018,Jan,267844,258240,9604,3.6
2018,Feb,269734,259283,10451,3.9
2018,Mar,270538,260450,10088,3.7
2018,Apr,272518,263736,8782,3.2
2018,May,273903,264677,9226,3.4
2018,Jun,275632,264639,10993,4.0
2018,Jul,272551,262208,10343,3.8
2018,Aug,268678,259720,8958,3.3
2018,Sep,270842,262314,8528,3.1
2018,Oct,271163,262588,8575,3.2
2018,Nov,273055,265404,7651,2.8
2018,Dec,270852,262565,8287,3.1
2019,Jan,268656,258671,9985,3.7
2019,Feb,269413,259272,10141,3.8
2019,Mar,270740,260402,10338,3.8
2019,Apr,272697,264245,8452,3.1
2019,May,275910,266641,9269,3.4
2019,Jun,279154,268208,10946,3.9
2019,Jul,276198,265593,10605,3.8
2019,Aug,273739,264555,9184,3.4
2019,Sep,274350,265990,8360,3.0
2019,Oct,275928,267540,8388,3.0
2019,Nov,275843,267573,8270,3.0
2019,Dec,273326,265044,8282,3.0
2020,Jan,271386,261336,10050,3.7
2020,Feb,270407,261497,8910,3.3
2020,Mar,268085,256693,11392,4.2
2020,Apr,270381,229273,41108,15.2
2020,May,269081,244721,24360,9.1
2020,Jun,259560,248202,11358,4.4
2020,Jul,248469,237383,11086,4.5
2020,Aug,269465,251841,17624,6.5
2020,Sep,258008,245940,12068,4.7
